id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
SJIAN001,李敖书笺集,001.我为什么支持王八蛋？.txt,我为什么支持王八蛋？,用不完美的人制衡更坏的局面,李敖说支持反对党政治，不是因为反对派个人多高尚，而是为了反对一党独大、一党独裁。现实里有时不是在圣人与小人之间选择，而是在坏格局中寻找制衡力量；看得见对方不完美，仍能为了更大平衡而有限支持，才是不幼稚的判断。,判断;方向;现实
SJIAN002,李敖书笺集,002.斥财阀.txt,斥财阀,被列黑名单时，要追问系统来源,李敖面对信用卡公司忽称他在黑名单中，没有只争一笔消费，而是追问这种资料从哪里来，是否与警备总部或调查局相连。遇到机构性歧视，别只接受柜台说法；要追到名单、资料流和责任链，否则一次误会背后可能藏着一整套黑箱。,黑箱;追问;机构
SJIAN003,李敖书笺集,002.斥财阀.txt,斥财阀,道歉若避开问题，就还没道歉,国泰信托只说职员误会并补发信用卡，却没有回答李敖追问的核心问题：黑名单从何而来、收费凭什么。人生中遇到轻飘飘的歉意，不能只看态度软不软，而要看它有没有处理真正的问题；绕开要害的道歉，只是拖延。,追问;道歉;问题
SJIAN004,李敖书笺集,003.谁使雷震有了遗恨？.txt,谁使雷震有了遗恨？,对死者的承诺，也要向生者兑现,李敖写信给宋英，要求照雷震遗意处理房子，不让死者地下有憾、生者权益受损。承诺不因当事人去世就失效，尤其涉及遗愿、财物和信任时，更要把话做成事；一个社会的人心公道，常从这些身后小处维系。,承诺;信用;公道
SJIAN005,李敖书笺集,004.从主流到乱流.txt,从主流到乱流,压死主流，往往只会养出乱流,李敖回忆《文星》被掐死时曾说，尚有规格的主流反对若被消灭，日后只会变成更难收拾的乱流。处理不同意见也是如此：把有规则、有水准的异议压掉，并不等于问题消失，只是把它推向更粗暴、更无序的出口。,异议;格局;后果
SJIAN006,李敖书笺集,004.从主流到乱流.txt,从主流到乱流,旧名称不能只靠旧情保管,李敖请第三者登记《文星》，意在证明萧孟能不能只靠旧关系就宣称独占这个名称。记忆中的招牌不等于法律上的权利，情感上的贡献也不等于永久控制权；越是有历史光环的名字，越要经得起事实和权利的检验。,权利;名称;检验
SJIAN007,李敖书笺集,004.从主流到乱流.txt,从主流到乱流,被抹黑时，要把平反追成记录,萧孟能指控李敖伪造文书，媒体大登特登；法院裁定李敖清白后，报纸却一字不登。李敖没有只靠愤怒，而是把裁定、判决和诽谤责任一一追出来。名誉受损时，最有力的反击不是口头喊冤，而是把真相追进正式记录。,名誉;记录;反击
SJIAN008,李敖书笺集,005.“望君早归”不如“望君牺牲”.txt,“望君早归”不如“望君牺牲”,特立独行，才不被两边劫持,李敖称赞江鹏坚退席抗议有新气象，并说只有特立独行，才不会被国民党劫持，也不会被党外浑人劫持。人在团体中最容易被“自己人”和“敌人”同时拖走；能守住独立姿态，才可能领导群众，而不是被群众推着走。,独立;领导;原则
SJIAN009,李敖书笺集,005.“望君早归”不如“望君牺牲”.txt,“望君早归”不如“望君牺牲”,怕监牢的人，会被监牢支配,李敖引用甘地，强调抗暴者若怕入狱，政府就能利用这种恐惧；把入狱看成受苦和净化，力量反而更大。人生中的许多威胁也是如此：你越把它当作不能碰的极限，它越能支配你；先在心里接受代价，行动才会自由。,勇气;代价;自由
SJIAN010,李敖书笺集,005.“望君早归”不如“望君牺牲”.txt,“望君早归”不如“望君牺牲”,别把大是大非唱成小儿女调,李敖批评党外只会“望君早归”，不愿面对真正牺牲，结果只剩粉拳绣腿和小是小非。面对严肃问题时，温情不是不能有，但不能替代大判断；若只求安慰和团圆，反而会把本该承担的正义责任唱软、唱小。,牺牲;是非;成熟
