id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
QWBW001,《千秋万岁编外集》,001.美国又喜欢联合国了.txt,美国又喜欢联合国了,正义与双重标准,判断一个人或一个国家是否真讲正义，不要只看它在顺境中怎样拥护规则，而要看规则和裁判不利于它时，它还肯不肯承认同一套尺度。只在合自己利益时才赞成公理，其实不是爱公理，而是把公理当工具；人生中也如此，最能暴露品格的，往往是自己吃亏时还愿不愿意守住公平。,人生智慧;正义;双重标准
QWBW002,《千秋万岁编外集》,003.戴季陶二三事.txt,戴季陶二三事,制度与人才,制度选拔人才只是第一步，更关键的是让被选出的人有真实位置、有真实工作、有发挥的空间。若考试、推荐、资格只是挂名，真正的机会仍被关系和权势占住，人才就会从制度入口进来，又在制度内部被闲置；做事用人，不能只重录取的仪式，还要兑现任用的责任。,人生智慧;制度;人才
QWBW003,《千秋万岁编外集》,003.戴季陶二三事.txt,戴季陶二三事,大道理与具体权利,越是宏大的口号，越容易被拿来堵住具体人的具体权利。真正有价值的理想，应该能落到办事、待遇、程序和尊重上；若一谈到个人应得的机会和保障，就用“服务”“大局”一类漂亮话压下去，那不是提高境界，而是用高调掩护不公。,人生智慧;大道理;具体权利
QWBW004,《千秋万岁编外集》,004.孙中山在天津张园.txt,孙中山在天津张园,直接经验,许多可怕的形象不是来自亲眼所见，而是来自权力、传闻或成见的加工。一个孩子真正见到被宣传成“怪物”的人，才发现对方也可以温和、诚恳、有人味；人生判断也应如此，能直接接触事实时，就不要让二手恐吓替自己完成判断。,人生智慧;直接经验
QWBW005,《千秋万岁编外集》,006.谁来选国大代表.txt;007.真正民意到哪里去了？.txt;008.国民大会还政于民的怪现象.txt;009.国大代表是怎样产生的？.txt,国大代表与选举相关,程序的实质,判断一种程序是否真公平，不能只看有没有投票、会场、表格和热闹场面，还要看资格、资源和参与机会是否早被少数人预先垄断。若规则表面完整，实际入口却被金钱、人情和权势控制，程序越漂亮，越可能只是给不公平涂上一层合法油彩。,人生智慧;程序;实质
QWBW006,《千秋万岁编外集》,017.军统局局本部的日常规章制度.txt,军统局局本部的日常规章制度,门面与本质,有些组织越会布置会客室、越会讲礼貌、越会包装自己的文明形象，旁观者越要追问这层门面遮住的真实权力关系。待客的温和不等于制度的温和，装饰的整洁也不等于行为的正当；看一个机构，要看它怎样对待无力反抗的人，而不是只看它怎样接待客人。,人生智慧;门面;本质
QWBW007,《千秋万岁编外集》,018.深夜怀友.txt,深夜怀友,读者与信徒,敬重一个思想者，最好的方式是做他的认真读者，而不是把自己变成信徒。读者会学习、比较、追问，也会保留自己的判断；信徒则容易把人的文字变成不可碰的教条。真正的思想传承，不靠跪拜，而靠把对方的启发放进自己的思考里继续验证。,人生智慧;读者;信徒
QWBW008,《千秋万岁编外集》,019.我看胡适之先生.txt,我看胡适之先生,署名与责任,意见一旦公开，就不该躲在匿名的便利后面。署名不是为了炫耀作者，而是让读者知道谁在负责，让不同意见能被具体讨论，也让写作者不把公共语言当成无人负责的工具。无论写文章、做报告还是发表判断，愿意署名承担，是诚实表达的一部分。,人生智慧;署名;责任
QWBW009,《千秋万岁编外集》,019.我看胡适之先生.txt,我看胡适之先生,爱国与垄断,爱国不是任何团体、政党或领袖的专利，也不该被用来取消别人忧国的资格。一个人反对战争、批评政策、要求审慎，并不天然比高喊口号的人少爱自己的国家；真正成熟的公共生活，要允许不同的人用不同方式承担共同体命运，而不是用爱国二字封锁讨论。,人生智慧;爱国;垄断
QWBW010,《千秋万岁编外集》,019.我看胡适之先生.txt,我看胡适之先生,战争与审慎,最容易显得勇敢的选择，未必是最负责的选择。面对战争或重大冲突，领导者必须先把避免灾难的路走到尽头，穷尽谈判、让步、拖延与保存实力的可能，再谈不得不战。人生中的大冲突也一样，真正的勇气常常包含克制和迟疑，而不是急着证明自己不怕。,人生智慧;战争;审慎
