id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
BYKTW001,白眼看台湾,001.党外人士该去做星妈.txt,党外人士该去做星妈,坏制度会把普通人逼成两难,李敖谈恶法时，看到的不是抽象条文，而是人被逼到无路可走的处境。人生里判断一套规则好坏，要看它给弱者留下多少正当选择；若规则只会把人推向自保、隐瞒或冒险，它制造的问题常比它宣称要解决的问题更大。,制度;选择;恶法
BYKTW002,白眼看台湾,001.党外人士该去做星妈.txt,党外人士该去做星妈,大帽子一扣，清白就成了弱者的负担,一旦权力或舆论先给人扣上大帽子，证明无辜的责任就会倒压到被指控者身上。人生里要警惕这种倒置：真正公正的判断，不该让被怀疑的人靠运气、资源和口才去挣回本来就属于他的清白。,清白;指控;公正
BYKTW003,白眼看台湾,002.给党外人士上一课.txt,给党外人士上一课,认识对手不能只读他的宣传品,李敖批评只从表面标语认识国民党的人，因为宣传品总会把真实结构遮住。人生里认识任何对手、组织或合作对象，都要看历史、利益和实际运作；只听他怎么说自己，最容易把危险误看成友善。,判断;对手;宣传
BYKTW004,白眼看台湾,002.给党外人士上一课.txt,给党外人士上一课,看组织，要看它真实运作,一个团体挂着现代名称，不代表它真按现代规则运行。李敖把政党看成家族式机器，提醒人看组织时不要停在名义、章程和口号，而要观察谁能被保护、谁能被牺牲、谁真正说了算。,组织;现实;权力
BYKTW005,白眼看台湾,002.给党外人士上一课.txt,给党外人士上一课,家族式组织最会内外双重标准,在家族逻辑里，自己人犯错可以被包庇，外人犯错则被严惩。人生里遇到这种组织，要少被它的公平语言迷惑；看它是否一套标准对所有人，才看得出它有没有真正的原则。,标准;组织;原则
BYKTW006,白眼看台湾,002.给党外人士上一课.txt,给党外人士上一课,统战没有边界，就是自失立场,李敖反对把任何半路靠近的人都当朋友，因为没有边界的拉拢会把自己的立场先溶掉。人生里的合作也如此：开放不等于来者不拒，真正成熟的联盟要知道哪些人可以同行，哪些人只会拖你偏离初衷。,合作;边界;立场
BYKTW007,白眼看台湾,002.给党外人士上一课.txt,给党外人士上一课,判断人别只看他骂谁，还要看谁护着他,有人表面上批评权力，却仍被权力体系当成自己人照顾。李敖提醒人判断立场不能只看口头攻击，还要看利益关系、保护网络和关键时刻的归队方向；真正的独立，要经得起关系图的检验。,识人;立场;关系
BYKTW008,白眼看台湾,003.围剿陶百川的一个教训.txt,围剿陶百川的一个教训,高贵名词不能随便送给和事佬,李敖不愿把“清流”这类高贵称号送给只会调停、弥缝、不得罪人的人。人生里越是好词越要慎用，否则语言先被稀释，真正有骨头、有判断的人反而和圆滑者混成一类。,名词;标准;清流
BYKTW009,白眼看台湾,003.围剿陶百川的一个教训.txt,围剿陶百川的一个教训,真正清流不站中间讨好,清流的价值不在温和站位，而在清楚的是非判断。李敖提醒，若一个人总以中间姿态换取两边好感，他可能只是安全地漂浮，并没有承担原则应承担的压力；清流不是和事佬的别名，而是敢把浊流说成浊流的勇气。,清流;是非;原则
BYKTW010,白眼看台湾,003.围剿陶百川的一个教训.txt,围剿陶百川的一个教训,两头都像的人，迟早两头不容,李敖借蝙蝠寓言提醒，靠身份暧昧在两边讨生活，只能在冲突未明时占便宜。等局势变化、双方看清，你既不属于这边，也不属于那边，最后失去的是可信身份。,暧昧;身份;信用
BYKTW011,白眼看台湾,003.围剿陶百川的一个教训.txt,围剿陶百川的一个教训,把自由当进谏，会把公民变回臣子,李敖区分现代自由和旧式进谏：若只盼上位者听劝，人的位置仍是臣民。人生里争取权利也不能只靠讨好式劝告，必须承认自己本来就是权利主体，而不是等别人开恩的人。,自由;权利;公民
BYKTW012,白眼看台湾,003.围剿陶百川的一个教训.txt,围剿陶百川的一个教训,同时侍奉两个主人，最后先丢原则,李敖反复提醒不能一边侍奉原则，一边侍奉利益。人生里若总想两头都不得罪，最先消失的常不是利益，而是你心里那个原本要守住的标准；两边都要的聪明，最后常变成哪一边都不信你的代价。,原则;利益;选择
BYKTW013,白眼看台湾,003.围剿陶百川的一个教训.txt,围剿陶百川的一个教训,长路要自己走，别把萤火当星光,李敖说走自己的路时，也提醒人别把短暂亮光误认为真正方向。人生中会有许多看似鼓舞的小光点，但长路靠的是稳定判断和自我承担，不能把一时热闹当成终极指引。,方向;长路;自立
BYKTW014,白眼看台湾,004.青年党内与老年党外.txt,青年党内与老年党外,别从帮忙退化成帮闲,李敖区分真正帮忙和依附性帮闲：前者解决问题，后者只是给场面添热闹。人生里帮助别人或参与事业，要保持独立判断和实际贡献；一旦只剩陪衬、捧场和等饭吃，就已经从行动者退化成装饰品。,帮忙;独立;行动
BYKTW015,白眼看台湾,004.青年党内与老年党外.txt,青年党内与老年党外,名字年轻，不等于心态年轻,李敖讽刺有些组织名为青年，内里却早已老化。人生里年龄、招牌和身份都可能骗人，真正的年轻是敢想新问题、敢走新路、敢承担新风险，而不是把旧习气披上新名称。,年轻;心态;革新
BYKTW016,白眼看台湾,004.青年党内与老年党外.txt,青年党内与老年党外,没有思想根基的行动，容易空转一生,李敖借从政者的遗憾提醒，政治活动若没有思想和文化根基，可能忙了一辈子仍只在事务中打转。人生中任何公共行动都需要理念支撑，否则越勤奋，越可能只是在同一套旧框架里加速空转。,思想;行动;根基
BYKTW017,白眼看台湾,004.青年党内与老年党外.txt,青年党内与老年党外,只为自己开禁，不叫争自由,如果一个人争取开放，只是为了自己的出版、职位或便利，那不是自由理想，而是私利谈判。李敖提醒人，真正的自由要求有普遍性；只替自己留门，最后也会把别人关在门外。,自由;私利;普遍性
BYKTW018,白眼看台湾,004.青年党内与老年党外.txt,青年党内与老年党外,人未老心先老油条，最容易失去未来,李敖看重的是精神年龄，不是生理年龄。一个人若还年轻就学会圆滑、妥协和算计，把理想当幼稚，把原则当麻烦，他的未来其实已经提前缩小；真正的老，常是从过早放弃锋芒开始的。,心态;未来;圆滑
BYKTW019,白眼看台湾,005.放火的，不要变成放水的.txt,放火的，不要变成放水的,放火的人，最怕后来学会放水,李敖把推动改变的人称为放火者，最怕他们后来转成替权力降温、灭火的人。人生里一个人曾经勇敢不够，还要持续警惕自己是否在安全、名位和关系中慢慢变成当初反对的那种人。,改变;退化;警惕
BYKTW020,白眼看台湾,005.放火的，不要变成放水的.txt,放火的，不要变成放水的,别把顺从包装成政治智慧,有些人把向现实低头说成成熟，把配合强者说成高明。李敖的判断很硬：如果所谓智慧只是让你更会配合坏规则，它就不是智慧，而是给投降换了一个体面名字。,智慧;顺从;现实
BYKTW021,白眼看台湾,005.放火的，不要变成放水的.txt,放火的，不要变成放水的,不合作，有时是最低限度的清白,面对不该配合的制度，最基本的抵抗可能不是高声宣言，而是不帮它完成自己那一环。李敖把不合作视为清白底线，提醒人有些场合若不能改变大局，至少不要让自己的手成为坏事的一部分。,不合作;清白;底线
BYKTW022,白眼看台湾,005.放火的，不要变成放水的.txt,放火的，不要变成放水的,别学旧权术来追求新出路,李敖反对用宫廷机诈和旧式手腕追求民主新局，因为旧工具会把新目标拖回旧泥潭。人生中若用自己反对的方法争胜，即使暂时赢了，也可能把胜利的性质先弄坏。,权术;方法;目标
BYKTW023,白眼看台湾,005.放火的，不要变成放水的.txt,放火的，不要变成放水的,新的出路，要由新的思想打前锋,李敖认为新运动不能穿着旧鞋走路。人生里真正的突破，往往不是换一批人重复旧动作，而是先更新观念、语言和判断标准；思想不先变，行动很快又会回到老路。,思想;突破;新路
BYKTW024,白眼看台湾,005.放火的，不要变成放水的.txt,放火的，不要变成放水的,战斗记录比漂亮履历更验人,李敖评价人时，看他有没有真正站出来承受压力，而不只看学历、头衔和好名声。人生里履历可以包装，战斗记录却很难伪造；关键时刻做过什么，比平时怎么介绍自己更能说明人。,识人;行动;履历
BYKTW025,白眼看台湾,005.放火的，不要变成放水的.txt,放火的，不要变成放水的,牺牲也要问方向,李敖不是盲目赞美牺牲，他在意牺牲究竟服务火还是服务水。人生里辛苦、忍耐和付出本身不自动高贵；若方向错了，越有牺牲精神，越可能替错误目标增加重量。,牺牲;方向;判断
BYKTW026,白眼看台湾,006.党外人士该去做警察.txt,党外人士该去做警察,权力扩张到失控，监督链就会倒转,李敖用警察权扩张讽刺监督关系被倒置：本该受约束者反过来支配检察与审判。人生里任何组织都要警惕执行部门坐大，一旦执行者不再被问责，制度名义还在，实际秩序已经变形。,权力;监督;制度
