id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
GWSRNK001,给外省人难看,001.蒋介石冒充日本士官学校毕业.txt,蒋介石冒充日本士官学校毕业,履历越显赫，越要怕查名册,李敖追查蒋介石所谓日本士官学校学历，不满足于传记中的神气描写，而是回到留学生名册、同学会记录和口述回忆逐项核对。人生里越是被包装成显赫的履历，越不能只看宣传文字；真正的底气经得起名单、时间和地点的检验，假的光环则常怕一张原始表格。,履历;证据;求真
GWSRNK002,给外省人难看,001.蒋介石冒充日本士官学校毕业.txt,蒋介石冒充日本士官学校毕业,自卑的人才急着给出身镀金,李敖指出蒋介石已经身居高位，却仍要把振武学校说成士官学校，把原本可以交代清楚的早年经历吹成更高学历。人生里真正成熟的人，不靠篡改起点来维持尊严；越急着把过去镀金，越暴露现在的虚弱。,自卑;真实;履历
GWSRNK003,给外省人难看,002.陈立夫的新谎话.txt,陈立夫的新谎话,否认派系时，先查他有没有自露过底,陈立夫把CC说成中共硬扣出来的虚名，李敖却引蒋君章记载，指出陈立夫自己曾在陈布雷面前用CC口吻给别人归类。人生中遇到一个人否认旧关系、旧派系、旧身份，不要只听他今天的声明；最要紧的是找他在放松、防备不严或同圈人面前说过什么，人的底常在不经意处露出来。,否认;证据;身份
GWSRNK004,给外省人难看,003.郝柏村还在无耻歌颂“民族救星”.txt,郝柏村还在无耻歌颂“民族救星”,自封的头衔最怕留下原迹,李敖用蒋介石亲笔口号反证“民族救星”的来源，指出许多后来被追捧成公共称号的东西，起初可能只是当事人自己指定的光环。人生里听见过度神圣的头衔，不妨追到最早出处；如果赞美原来出自自封，再多人复读也不能把它洗成事实。,头衔;自封;原始证据
GWSRNK005,给外省人难看,004.梁肃戎的悲哀.txt,梁肃戎的悲哀,苦难经历不能替后来失格免罪,梁肃戎年轻时冒险抗日、受难坐牢，李敖并不抹杀；但他同时指出，后来为做官而同流合污，仍然值得责备。人生中早年的牺牲可敬，却不能成为后来放弃原则的永久护身符；真正难的是把受难时的自己一路保存到得势以后。,经历;原则;晚节
GWSRNK006,给外省人难看,004.梁肃戎的悲哀.txt,梁肃戎的悲哀,官越做越大，人不能越活越小,李敖说梁肃戎的悲哀不在感谢提拔，而在不再是自己。人生里最危险的升迁，是职位一级级变高，内心却一层层缩小；真正的成就不是让名片变厚，而是让人在权位里还保有原来的勇气和声音。,升迁;自我;勇气
GWSRNK007,给外省人难看,005.陶百川的无耻.txt,陶百川的无耻,十年沉默不能靠一次求情洗白,陶百川把自己替彭家说情写成美德，李敖却追问他在多年非法监管中为何不早说话。人生中偶尔一次善意不能抵消长期沉默，尤其当你原本有位置、有责任、有能力发声时；迟来的帮忙若不承认旧日怯懦，就容易变成自我表扬。,沉默;责任;自省
GWSRNK008,给外省人难看,005.陶百川的无耻.txt,陶百川的无耻,由独裁者决定不要特权，仍是独裁,陶百川称赞蒋经国反对增订诽谤总统罪，李敖却指出，国家立法竟可由总统一句话决定，本身就暴露了独裁结构。人生里不要被一个温和决定迷住眼睛，还要看决定是怎样产生的；若制度仍靠某个人恩准，哪怕这次结果较好，也不能算真正的自由和法治。,制度;法治;权力结构
GWSRNK009,给外省人难看,006.成舍我诱奸怨妇打胎三次.txt,成舍我诱奸怨妇打胎三次,立身有示范作用，私德也会变公评,李敖评成舍我时，特别指出教育界人士的立身有典范作用，因此吝啬、负义、背盟都不能只说成私事。人生里一个人越以道德、教育、公共职位示人，越不能把自己的行为藏进“私生活”里；你要求社会尊重你的身份，也就接受了社会检验你的品行。,私德;公评;示范
GWSRNK010,给外省人难看,006.成舍我诱奸怨妇打胎三次.txt,成舍我诱奸怨妇打胎三次,评价人要能分出长处和亏欠,李敖揭成舍我的负面行径后，仍补上一句该肯定的长处还是要肯定。人生中严厉批评不等于把人抹黑成一团，真正公允的判断既不因一善遮百恶，也不因一恶废尽其余；能分账，才不容易被爱憎拖着走。,评价;公允;分寸
GWSRNK011,给外省人难看,007.徐复观是好汉吗？.txt,徐复观是好汉吗？,影射别人，也要准备认账,徐复观用化名、影射、转述来骂人，到了法庭又试图把指向变得含糊，李敖因此把问题落在“骂了人不要想赖账”。人生里语言若故意让读者知道你在指谁，就不能在追责时假装自己没有指向；暗箭最见心术，认账才有最起码的光明。,语言责任;影射;认账
GWSRNK012,给外省人难看,007.徐复观是好汉吗？.txt,徐复观是好汉吗？,崇拜人物前先看他敢不敢承认小事,有人称徐复观有大儒风骨，李敖却从他不肯承认骂人这件小事切入，判断所谓诚实勇敢是否站得住。人生中检验一个人的品格，不必总等惊天动地的大场面；一件白纸黑字的小责任，他若都要闪躲，大话里的风骨就很可疑。,品格;小事;风骨
